Chave,Resumo,Status,Responsável,Data de Criação,Data de Atualização
ANS-71,EXAMPLE EPIC,Tarefas pendentes,Não atribuído,2025-03-18T03:14:01.219-0300,2025-03-18T03:14:01.444-0300
ANS-65,DIVERSOS,Tarefas pendentes,Não atribuído,2025-03-16T04:53:45.650-0300,2025-03-16T04:53:45.700-0300
ANS-61,GESTAO,Tarefas pendentes,Não atribuído,2025-03-16T04:37:36.794-0300,2025-03-16T04:37:36.847-0300
ANS-56,DEPLOY,Tarefas pendentes,Não atribuído,2025-03-16T04:34:31.461-0300,2025-03-16T04:34:31.519-0300
ANS-52,VERSIONAMENTO,Tarefas pendentes,Não atribuído,2025-03-16T04:34:23.556-0300,2025-03-16T04:34:23.632-0300
ANS-47,FRONTEND,Tarefas pendentes,Não atribuído,2025-03-16T04:34:10.801-0300,2025-03-16T04:34:10.869-0300
ANS-42,BACKEND,Tarefas pendentes,Não atribuído,2025-03-16T04:33:56.125-0300,2025-03-16T04:33:56.214-0300
